category,company,address,phone1,phone2,phone3,fax,discount description,website,facebook,instagram,twitter,youtube
Personal Care,432 Body Works,"11 Ardenne Rd, Suite 9, Kgn 10",876 894 0614,,,,22% discount,,https://www.facebook.com/432bodyworksja1/,https://www.instagram.com/p/BikjbJonVMK/?hl=en,,
Personal Care,AFYA Yoga Pilates Dance Studio,"2d Bamboo Ave, Kgn 6",876 977 6735,8763837669,876 434 7433,,$900 drop in class rate,https://www.afyajamaica.com/,https://www.facebook.com/groups/8590012695/,https://www.instagram.com/afyayogajamaica/?hl=en,,
Personal Care,Angela’s,"7 Merrick Avenue, Kgn 10",876 926 5193,876 323-5906,876 383-7782,,10 – 25% discount,,https://www.facebook.com/angelasfashion/,https://www.instagram.com/angelasfashionja/?fbclid=IwAR3rtZ7YtFG3i9tke8RSP6QLu_98yGHP--rQK3RP_JHZkJL1terAy2Q5600,,
Personal Care,AromaCare - Donna Singh,,876 461 9162,,,,15 % discount,,,,,
Personal Care,Bookophilia," 92 Hope Road, Kgn 6 ",876 801 -7614,,,,10% discount on books and café purchases ,,https://www.facebook.com/Bookophilia/,https://www.instagram.com/bookophilia/?hl=en,https://twitter.com/Bookophilia?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,
Personal Care,Dale Carnegie Training Institute,"Shop 13-15 Tropical Plaza, 12-14 Constant Spring, Kingston 10",876 754 9748,,,,25% discount on training courses,https://www.dalecarnegie.com/en/franchise-locations/jamaica,https://www.facebook.com/dalecarnegiejamaica/,https://www.instagram.com/dalecarnegiejamaica/?hl=en,,
Personal Care,Detoxification - Alternative Medicine by Sonia McDonald-Buchanan,,876 817 9472 ,876 573 1181,,,15% discount,,,,,
Personal Care,Doctors Cave Bathing Club,"White Sands Beach, Montego Bay ",876 952 2566 ,,,,15% discount ,https://www.doctorscavebathingclub.com/the-club-house/,,https://www.instagram.com/explore/tags/doctorscavebathingclub/?hl=en,,
Personal Care,Eden Gardens Wellness Resort & Spa,"39 Lady Musgrave Road, Kgn 10 ",876 946 3336,,,,15% discount on Restaurants & Eden Spa,http://www.edengardenswellness.com/,https://www.facebook.com/EdenGardensJa/,https://www.instagram.com/explore/tags/edengardenswellnessresort/?hl=en,,
Personal Care,Jen Care Skin Farm,"82 Hope Road, Kgn 6 ",876 946 3494-7,,,,10% discount  - (Mon – Wed),https://shopjencare.com/,https://www.facebook.com/JencareSkinFarm/,https://www.instagram.com/jencareskinfarm/,,
Personal Care,La Belle Femme Lingerie & Bra Fit Specialists, 53 Lady Musgrave Rd. ,876 622 6091                              ,,,,15% discount,,https://www.facebook.com/4Beautifulme/,https://www.instagram.com/labellefemmeja/?hl=en,,https://www.youtube.com/channel/UCC1lT4k2GyQDW2eBprm5tow
Personal Care,Light Therapy by Opal Bernard,"Constant Spring Medical Centre,111c Constant Spring Rd, Kgn 10",876 925-0868,876 542-8983,,,15% discount,,https://www.facebook.com/opaldawnlighttherapy/,,,
Personal Care,Reflexology - Mrs. Shirley Reeson  ,,876 456-6045        ,,,,20% discount,,,,,
Personal Care,Sanaa Studios  ,"25 Barbican Road, Kgn 6 ",876 977 4792,,,,10% discount on classes,https://sanaastudios.com/,https://www.facebook.com/SanaaStudiosJa/,https://www.instagram.com/sanaastudios/?hl=en,https://twitter.com/SanaaStudios?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,
Personal Care,Treatment Room," 2D Bamboo Avenue, Kingston 6",876 792-1352,,,,20% discount,,https://www.facebook.com/treatmentroomja/,,,
Personal Care,The Wanderer ,Queensway,876 926 6071 ,,,,10% discount,,https://www.facebook.com/Colette-at-The-Wanderer-170081849717794/,,,
Home & Entertaining,Amazing Events ,Amazing Events,876 823 4433 ,,,,15% discount,,,,,
Home & Entertaining,Anne Marie Bonner ,,,876 816 9552 ,876 486 8699     ,,15% discount,,https://www.facebook.com/AMBonnerRealtor/?__tn__=%2Cd%2CP-R&eid=ARDfTfDyrwoRoQQy0WD_tNGYKjYWCCxZGMruRswN5y1yqdrVJsZT8X_XIIIGndKKUyr1ijy8hfqZL1va,,,
Home & Entertaining,Conserve It Solar Equipment,"12 Truman Avenue, Kgn 10 ",876 754 0220-1,,,,5% discount,,https://www.facebook.com/conserveitjamaica/,https://www.instagram.com/conserveitjamaica/?hl=en,,
Home & Entertaining,Every Blooming Thing,80 Constant Spring Road,876 925 4483,876 925 9319,,,20% discount,,https://www.facebook.com/everybloomingthingja/,https://www.instagram.com/everybloomingthingja/?hl=en,,
Home & Entertaining,Greenthumb Floral & Gifts,"37 Shortwood Rd, Kgn 8",876 925 0988,,,,20% discount,,https://www.facebook.com/greenthumbfloralandgifts,,,
Home & Entertaining,Guardsman Alarms Limited,"6 Carvahlo Dr, Kingston",876 929-6847,,,,10% discount,https://www.guardsmangroup.com/,https://www.facebook.com/GuardsmanGroup/,https://www.instagram.com/guardsmangroup/?hl=en,https://twitter.com/GuardsmanGroup,
Home & Entertaining,Guardsman Security Services,Old Hope Kgn 6,876 978 5760 ,876 929 3299,,,10%  discount,https://www.guardsmangroup.com/,https://www.facebook.com/GuardsmanGroup/,https://www.instagram.com/guardsmangroup/?hl=en,https://twitter.com/GuardsmanGroup,
Home & Entertaining,Hope Zoo,"Hope Road, Kingston, Jamaica",876-927-1085,,,,30%  discount,http://hopezookingston.com/,https://www.facebook.com/HopeZooKingston/,https://www.instagram.com/hopeZooKingston/,https://twitter.com/hopeZooKingston,
Home & Entertaining,Hawkeye Electronic Security," 14 Belmont Road, Kingston 5",876 926 4295,,,,10%  discount,https://hawkeyejamaica.com/,https://www.facebook.com/HawkeyeJamaica/,https://www.instagram.com/hawkeyejamaica/?hl=en,https://twitter.com/HawkeyeJamaica,
Home & Entertaining,Independent Living,"11 Merrick Ave, Kgn 10",876 754 2195,876 754 5198,,,"10% discount on Abena Incontinence products
5%  on Bathroom/Safety products, commodes, walkers/canes & blood pressure machines
2% discount on CPAP Machines
",http://www.independentlivingja.com/,https://www.facebook.com/IndependentLiving101/,https://www.instagram.com/independentlivingja/?hl=en,,
Home & Entertaining,Jamaica Fire Equipment                                     ,"16 Hagley Park Rd, Kgn 10",Tel 876 926 5229,,,,,,,,,
Home & Entertaining,Konoko Park & Falls,Pimento Walk Main St Ann,876 622-1712,,,,10%  discount,https://www.konokofalls.com/,https://www.facebook.com/KonokoFalls,https://www.instagram.com/KonokoFalls/,https://twitter.com/KonokoFalls,
Home & Entertaining,King Alarm,"Caledonia Avenue, Kingston",876 926 0116,,,,25% Discount (Installations only),http://www.kingalarmjamaica.com/index.php?id=1,https://www.facebook.com/KingAlarmJA/,https://www.instagram.com/kingalarmja/?hl=en,https://twitter.com/KingAlarmJA,
Home & Entertaining,Nature’s Paradise,107 Old Hope Road,876 927-6613,,,,10%  discount,https://www.guardsmangroup.com/,https://www.facebook.com/GuardsmanGroup/,https://www.instagram.com/guardsmangroup/?hl=en,https://twitter.com/GuardsmanGroup,
Home & Entertaining,Neita’s Nest  ,Bridgemount St. Andrew,876 469-3005,,,,Discount on referral fee,,,,,
